,ParcelID,Hem,Surface area (mm2),Centroid (MNI),Community,x,y,z,ParcelID_sorted
116,117,L,307.5771,-6.8 38.2 -9.4,Default,-6.8,38.2,-9.4,47
24,25,L,200.8502,-5.6 42.2 35.1,Default,-5.6,42.2,35.1,48
151,152,L,176.6896,-6 44.9 6.3,Default,-6.0,44.9,6.3,49
144,145,L,177.8342,-15.9 48.6 37.2,Default,-15.9,48.6,37.2,50
113,114,L,85.7529,-27.5 53.6 0,Default,-27.5,53.6,0.0,51
149,150,L,685.0619,-6.5 54.7 18.1,Default,-6.5,54.7,18.1,52
115,116,L,539.1494,-5.9 54.8 -11.3,Default,-5.9,54.8,-11.3,53
145,146,L,272.8985,-19.5 56.3 27.5,Default,-19.5,56.3,27.5,54
150,151,L,150.8711,-15.7 64.7 13.7,Default,-15.7,64.7,13.7,55
94,95,L,112.4037,-30 -74.1 36.1,DorsalAttn,-30.0,-74.1,36.1,56
87,88,L,259.5151,-25.8 -65 32.2,DorsalAttn,-25.8,-65.0,32.2,57
86,87,L,429.2031,-20.4 -64.6 51.4,DorsalAttn,-20.4,-64.6,51.4,58
91,92,L,81.3067,-7.1 -63.7 54.9,DorsalAttn,-7.1,-63.7,54.9,59
99,100,L,1018.5765,-46.2 -57.7 -7.9,DorsalAttn,-46.2,-57.7,-7.9,60
90,91,L,259.2567,-9.9 -56.9 59.8,DorsalAttn,-9.9,-56.9,59.8,61
50,51,L,317.0145,-31.1 -48.9 47.1,DorsalAttn,-31.1,-48.9,47.1,62
51,52,L,181.2718,-42.9 -45 43,DorsalAttn,-42.9,-45.0,43.0,63
54,55,L,189.2331,-51.7 -30.9 39.9,DorsalAttn,-51.7,-30.9,39.9,64
40,41,L,345.6601,-27.3 -6.8 46.3,DorsalAttn,-27.3,-6.8,46.3,65
48,49,L,136.5671,-21.3 -0.2 62.7,DorsalAttn,-21.3,-0.2,62.7,66
41,42,L,95.2355,-27.3 1.9 52.9,DorsalAttn,-27.3,1.9,52.9,67
105,106,L,493.9182,-45.2 2.7 32.4,DorsalAttn,-45.2,2.7,32.4,68
106,107,L,75.7565,-34.7 5.6 34,DorsalAttn,-34.7,5.6,34.0,69
42,43,L,113.9601,-19.8 6.4 55.7,DorsalAttn,-19.8,6.4,55.7,70
112,113,L,79.561,-41.6 8.7 22.2,DorsalAttn,-41.6,8.7,22.2,71
154,155,L,150.8689,-35.7 33.1 32,DorsalAttn,-35.7,33.1,32.0,72
73,74,L,213.1817,-43.6 36.3 8.5,DorsalAttn,-43.6,36.3,8.5,73
109,110,L,179.3036,-37.6 38.4 17.2,DorsalAttn,-37.6,38.4,17.2,74
95,96,L,194.9111,-34.1 -61 42.4,FrontoParietal,-34.1,-61.0,42.4,75
