,ParcelID,Hem,Surface area (mm2),Centroid (MNI),Community,x,y,z,ParcelID_sorted
136,137,L,482.8474,-5.4 -88 18.6,Visual,-5.4,-88.0,18.6,145
97,98,L,199.9098,-34.2 -86.6 -0.5,Visual,-34.2,-86.6,-0.5,146
4,5,L,870.9255,-18.4 -85.5 21.6,Visual,-18.4,-85.5,21.6,147
96,97,L,618.9258,-31.3 -84.2 9,Visual,-31.3,-84.2,9.0,148
14,15,L,1660.1678,-11.3 -83.2 3.9,Visual,-11.3,-83.2,3.9,149
140,141,L,540.5193,-22.6 -81.7 -11.7,Visual,-22.6,-81.7,-11.7,150
137,138,L,141.7905,-8.6 -77.5 -3.5,Visual,-8.6,-77.5,-3.5,151
89,90,L,186.6595,-13.7 -77.4 26.6,Visual,-13.7,-77.4,26.6,152
138,139,L,230.3638,-41.2 -72.1 -5.9,Visual,-41.2,-72.1,-5.9,153
98,99,L,343.7314,-43.4 -67.6 9.7,Visual,-43.4,-67.6,9.7,154
131,132,L,201.042,-34.4 -63.9 -15.7,Visual,-34.4,-63.9,-15.7,155
7,8,L,486.7238,-16.8 -60.1 -5.4,Visual,-16.8,-60.1,-5.4,156
130,131,L,296.7072,-28.8 -58.8 -9.1,Visual,-28.8,-58.8,-9.1,157
15,16,L,88.7269,-22 -58.1 1.5,Visual,-22.0,-58.1,1.5,158
16,17,L,44.2265,-9.6 -58 3,Visual,-9.6,-58.0,3.0,159
19,20,L,141.8696,-16.7 -46 -3.7,Visual,-16.7,-46.0,-3.7,160
135,136,L,314.0602,-34.3 -43.8 -21.6,Visual,-34.3,-43.8,-21.6,161
229,230,R,116.8923,59.2 -38.6 14.6,Auditory,59.2,-38.6,14.6,162
223,224,R,178.7904,36.4 -30.7 19.4,Auditory,36.4,-30.7,19.4,163
232,233,R,238.2135,60 -25.2 10.2,Auditory,60.0,-25.2,10.2,164
231,232,R,98.1676,61.7 -24 1.3,Auditory,61.7,-24.0,1.3,165
328,329,R,15.9589,39.7 -22.5 2.6,Auditory,39.7,-22.5,2.6,166
170,171,R,168.9272,33.6 -22.3 13,Auditory,33.6,-22.3,13.0,167
226,227,R,350.4678,53.8 -15.8 5.2,Auditory,53.8,-15.8,5.2,168
268,269,R,158.6212,54.2 -13.6 16.9,Auditory,54.2,-13.6,16.9,169
238,239,R,112.8737,38.4 -12.2 20,Auditory,38.4,-12.2,20.0,170
243,244,R,60.859,36.6 -10 12.4,Auditory,36.6,-10.0,12.4,171
267,268,R,130.8316,60.9 -2.2 10.7,Auditory,60.9,-2.2,10.7,172
329,330,R,415.3981,55.8 2 -2,Auditory,55.8,2.0,-2.0,173
218,219,R,301.358,57.5 -40.3 34.7,CinguloOperc,57.5,-40.3,34.7,174
179,180,R,697.6518,16.2 -33.1 43.2,CinguloOperc,16.2,-33.1,43.2,175
222,223,R,1236.7323,54.9 -27 29.6,CinguloOperc,54.9,-27.0,29.6,176
233,234,R,296.7274,38.8 -14.4 -5,CinguloOperc,38.8,-14.4,-5.0,177
195,196,R,213.2576,8 -6.2 63.7,CinguloOperc,8.0,-6.2,63.7,178
197,198,R,153.6415,42.5 -2.3 47.2,CinguloOperc,42.5,-2.3,47.2,179
191,192,R,117.9189,16.2 0.8 67.5,CinguloOperc,16.2,0.8,67.5,180
234,235,R,277.0127,39.7 1.2 -13.1,CinguloOperc,39.7,1.2,-13.1,181
273,274,R,288.886,50.1 3 3.9,CinguloOperc,50.1,3.0,3.9,182
184,185,R,494.779,8.6 4.2 40.1,CinguloOperc,8.6,4.2,40.1,183
180,181,R,86.6935,6.7 5 55.9,CinguloOperc,6.7,5.0,55.9,184
237,238,R,206.3929,36.7 5.2 12.7,CinguloOperc,36.7,5.2,12.7,185
245,246,R,134.1318,36.5 5.7 6,CinguloOperc,36.5,5.7,6.0,186
244,245,R,160.3669,39.6 10.4 -1.6,CinguloOperc,39.6,10.4,-1.6,187
186,187,R,80.7702,8.8 10.8 45.9,CinguloOperc,8.8,10.8,45.9,188
187,188,R,175.5568,6 21.8 32.4,CinguloOperc,6.0,21.8,32.4,189
247,248,R,87.5638,33.7 22.6 3.7,CinguloOperc,33.7,22.6,3.7,190
248,249,R,317.1816,34 24.4 10,CinguloOperc,34.0,24.4,10.0,191
317,318,R,300.2814,31.3 39.7 25.6,CinguloOperc,31.3,39.7,25.6,192
316,317,R,119.2545,24.4 50.8 24.3,CinguloOperc,24.4,50.8,24.3,193
253,254,R,287.7833,15.6 -69.5 39.6,CinguloParietal,15.6,-69.5,39.6,194
172,173,R,138.0361,7.6 -27 28.4,CinguloParietal,7.6,-27.0,28.4,195
256,257,R,53.1597,7.4 -69.3 49.9,Default,7.4,-69.3,49.9,196
258,259,R,709.9593,46.5 -67.3 36.2,Default,46.5,-67.3,36.2,197
